iter	Passed	Remaining
0	58	58614
1	59	29543
2	59	19849
3	61	15382
4	62	12456
5	63	10468
6	63	9040
7	64	7963
8	64	7133
9	65	6463
10	65	5914
11	66	5463
12	66	5077
13	67	4747
14	70	4637
15	71	4388
16	72	4169
17	72	3965
18	73	3778
19	73	3609
20	81	3802
21	84	3762
22	87	3713
23	88	3585
24	89	3475
25	89	3359
26	90	3250
27	90	3152
28	91	3061
29	91	2973
30	94	2941
31	94	2864
32	95	2791
33	95	2725
34	96	2663
35	99	2658
36	99	2600
37	100	2542
38	100	2487
39	101	2434
40	101	2384
41	102	2336
42	102	2290
43	103	2247
44	107	2278
45	108	2240
46	108	2201
47	109	2163
48	109	2127
49	110	2092
50	110	2058
51	111	2025
52	111	1994
53	112	1971
54	113	1942
55	114	1923
56	114	1896
57	115	1882
58	116	1857
59	116	1832
60	118	1818
61	118	1795
62	119	1772
63	119	1750
64	120	1729
65	120	1711
66	121	1691
67	121	1671
68	122	1655
69	123	1640
70	124	1624
71	124	1610
72	125	1600
73	126	1587
74	127	1574
75	128	1563
76	129	1549
77	129	1536
78	130	1520
79	130	1506
80	131	1491
81	132	1481
82	132	1464
83	133	1452
84	133	1442
85	134	1430
86	135	1420
87	135	1408
88	136	1397
89	137	1386
90	137	1375
91	138	1364
92	138	1353
93	139	1343
94	139	1333
95	140	1323
96	141	1314
97	141	1304
98	142	1294
99	142	1285
100	144	1283
101	144	1273
102	145	1264
103	145	1255
104	146	1247
105	146	1238
106	147	1230
107	147	1222
108	148	1213
109	148	1205
110	149	1197
111	149	1189
112	150	1181
113	151	1173
114	151	1166
115	152	1159
116	152	1151
117	153	1143
118	153	1137
119	154	1130
120	154	1124
121	155	1116
122	155	1110
123	157	1113
124	158	1106
125	158	1100
126	159	1093
127	159	1086
128	160	1080
129	160	1074
130	160	1067
131	161	1061
132	161	1054
133	162	1047
134	162	1042
135	163	1035
136	163	1030
137	164	1024
138	165	1027
139	167	1027
140	168	1025
141	168	1018
142	169	1017
143	170	1015
144	171	1010
145	177	1038
146	177	1032
147	178	1027
148	179	1022
149	179	1017
150	180	1012
151	180	1007
152	180	1001
153	181	996
154	182	993
155	182	988
156	183	983
157	183	979
158	184	974
159	184	969
160	184	963
161	185	958
162	185	954
163	186	950
164	186	946
165	187	943
166	188	940
167	189	936
168	189	932
169	191	933
170	191	929
171	192	926
172	193	924
173	193	920
174	194	916
175	194	912
176	195	908
177	195	904
178	196	900
179	196	896
